"*","JUMP","-0.373167","2.379137"
"*","STITCH","-1.833166","3.189212"
"*","STITCH","-3.492508","3.358534"
"*","STITCH","-5.133039","2.999311"
"*","STITCH","-6.636076","2.214562"
"*","STITCH","-7.933185","1.094914"
"*","STITCH","-8.985411","-0.280789"
"*","STITCH","-9.772573","-1.844216"
"*","STITCH","-10.287041","-3.536263"
"*","STITCH","-10.529830","-5.305899"
"*","STITCH","-10.507998","-7.109166"
"*","STITCH","-10.232848","-8.908319"
"*","STITCH","-9.718641","-10.671083"
"*","STITCH","-8.981656","-12.370012"
"*","STITCH","-8.039491","-13.981937"
"*","STITCH","-6.910535","-15.487475"
"*","STITCH","-5.613566","-16.870608"
"*","STITCH","-4.167440","-18.118303"
"*","STITCH","-2.590862","-19.220188"
"*","STITCH","-0.902195","-20.168250"
"*","STITCH","-0.957917","-18.566714"
"*","STITCH","-2.598733","-17.589091"
"*","STITCH","-4.116177","-16.452188"
"*","STITCH","-5.489415","-15.165563"
"*","STITCH","-6.697174","-13.741732"
"*","STITCH","-7.717979","-12.196589"
"*","STITCH","-8.530475","-10.549897"
"*","STITCH","-9.113865","-8.825857"
"*","STITCH","-9.448499","-7.053776"
"*","STITCH","-9.516693","-5.268865"
"*","STITCH","-9.303861","-3.513188"
"*","STITCH","-8.800144","-1.836824"
"*","STITCH","-8.002792","-0.299304"
"*","STITCH","-6.919814","1.028575"
"*","STITCH","-5.575882","2.062402"
"*","STITCH","-4.022652","2.701043"
"*","STITCH","-2.359117","2.822435"
"*","STITCH","-0.780631","2.278193"
"*","STITCH","-1.164375","2.108027"
"*","STITCH","-2.813387","2.369899"
"*","STITCH","-4.430570","1.961482"
"*","STITCH","-5.849304","1.062828"
"*","STITCH","-6.993297","-0.188664"
"*","STITCH","-7.829238","-1.684427"
"*","STITCH","-8.347489","-3.337047"
"*","STITCH","-8.552456","-5.075413"
"*","STITCH","-8.457184","-6.841376"
"*","STITCH","-8.080080","-8.587328"
"*","STITCH","-7.442811","-10.274378"
"*","STITCH","-6.568907","-11.870922"
"*","STITCH","-5.482810","-13.351509"
"*","STITCH","-4.209202","-14.695917"
"*","STITCH","-2.772546","-15.888391"
"*","STITCH","-1.196751","-16.917009"
"*","STITCH","0.495061","-17.773138"
"*","STITCH","0.028565","-16.128459"
"*","STITCH","-1.593336","-15.203573"
"*","STITCH","-3.081048","-14.100749"
"*","STITCH","-4.407747","-12.831255"
