"Catalog Code","Name","Color"
"PCMColor1","1","0x000000"
"PCMColor2","2","0x000080"
"PCMColor3","3","0x0000ff"
"PCMColor4","4","0x008080"
"PCMColor5","5","0x00ffff"
"","6","0x800080"
"","7","0xff00ff"
"","8","0x800000"
"","9","0xff0000"
"","10","0x008000"
"","11","0x00ff00"
"","12","0x808000"
"","13","0xffff00"
"","14","0x808080"
"","15","0xc0c0c0"
"","16","0xffffff"
