"*","JUMP","-5.385269","-8.848681"
"*","STITCH","1.503579","-22.782498"
"*","STITCH","-5.465822","-8.685914"
"*","STITCH","1.152681","-22.658928"
"*","STITCH","-5.543325","-8.522337"
"*","STITCH","0.804225","-22.529818"
"*","STITCH","-5.617757","-8.358002"
"*","STITCH","0.458309","-22.395187"
"*","STITCH","-5.689097","-8.192963"
"*","STITCH","0.115035","-22.255055"
"*","STITCH","-5.757326","-8.027273"
"*","STITCH","-0.225495","-22.109444"
"*","STITCH","-5.822424","-7.860989"
"*","STITCH","-0.563180","-21.958376"
"*","STITCH","-5.884374","-7.694164"
"*","STITCH","-0.897916","-21.801879"
"*","STITCH","-5.943158","-7.526857"
"*","STITCH","-1.229600","-21.639978"
"*","STITCH","-5.998761","-7.359123"
"*","STITCH","-1.558129","-21.472704"
"*","STITCH","-6.051166","-7.191022"
"*","STITCH","-1.883396","-21.300087"
"*","STITCH","-6.100360","-7.022611"
"*","STITCH","-2.205299","-21.122161"
"*","STITCH","-6.146328","-6.853951"
"*","STITCH","-2.523730","-20.938960"
"*","STITCH","-6.189059","-6.685101"
"*","STITCH","-2.838584","-20.750523"
"*","STITCH","-6.228540","-6.516124"
"*","STITCH","-3.149754","-20.556888"
"*","STITCH","-6.264761","-6.347081"
"*","STITCH","-3.457134","-20.358097"
"*","STITCH","-6.297714","-6.178034"
"*","STITCH","-3.760615","-20.154194"
"*","STITCH","-6.327388","-6.009047"
"*","STITCH","-4.060091","-19.945225"
"*","STITCH","-6.353778","-5.840183"
"*","STITCH","-4.355452","-19.731238"
"*","STITCH","-6.376877","-5.671509"
"*","STITCH","-4.646590","-19.512284"
"*","STITCH","-6.396681","-5.503089"
"*","STITCH","-4.933397","-19.288416"
"*","STITCH","-6.413186","-5.334990"
"*","STITCH","-5.215763","-19.059690"
"*","STITCH","-6.426390","-5.167279"
"*","STITCH","-5.493579","-18.826163"
"*","STITCH","-6.436292","-5.000023"
"*","STITCH","-5.766735","-18.587896"
"*","STITCH","-6.442891","-4.833291"
"*","STITCH","-6.035121","-18.344952"
"*","STITCH","-6.446191","-4.667152"
"*","STITCH","-6.298628","-18.097397"
"*","STITCH","-6.446194","-4.501676"
"*","STITCH","-6.557145","-17.845299"
"*","STITCH","-6.442904","-4.336932"
"*","STITCH","-6.810563","-17.588730"
"*","STITCH","-6.436329","-4.172992"
"*","STITCH","-7.058770","-17.327762"
"*","STITCH","-6.426475","-4.009928"
"*","STITCH","-7.301657","-17.062474"
"*","STITCH","-6.413351","-3.847811"
"*","STITCH","-7.539113","-16.792944"
"*","STITCH","-6.396969","-3.686714"
"*","STITCH","-7.771029","-16.519255"
"*","STITCH","-6.377342","-3.526711"
"*","STITCH","-7.997295","-16.241493"
"*","STITCH","-6.354482","-3.367875"
"*","STITCH","-8.217801","-15.959747"
"*","STITCH","-6.328407","-3.210280"
"*","STITCH","-8.432437","-15.674107"
"*","STITCH","-6.299133","-3.054002"
"*","STITCH","-8.641095","-15.384671"
"*","STITCH","-6.266681","-2.899115"
"*","STITCH","-8.843665","-15.091535"
"*","STITCH","-6.231072","-2.745695"
"*","STITCH","-9.040039","-14.794801"
"*","STITCH","-6.192328","-2.593818"
"*","STITCH","-9.230110","-14.494574"
"*","STITCH","-6.150477","-2.443560"
"*","STITCH","-9.413769","-14.190963"
"*","STITCH","-6.105544","-2.294998"
"*","STITCH","-9.590911","-13.884080"
"*","STITCH","-6.057559","-2.148209"
"*","STITCH","-9.761429","-13.574039"
"*","STITCH","-6.006554","-2.003270"
"*","STITCH","-9.925218","-13.260961"
"*","STITCH","-5.952562","-1.860258"
"*","STITCH","-10.082174","-12.944968"
"*","STITCH","-5.895620","-1.719251"
"*","STITCH","-10.232192","-12.626187"
"*","STITCH","-5.835765","-1.580327"
"*","STITCH","-10.375171","-12.304748"
"*","STITCH","-5.773039","-1.443563"
"*","STITCH","-10.511010","-11.980786"
"*","STITCH","-5.707483","-1.309037"
"*","STITCH","-10.639607","-11.654439"
"*","STITCH","-5.639143","-1.176827"
"*","STITCH","-10.760865","-11.325850"
"*","STITCH","-5.568068","-1.047010"
"*","STITCH","-10.874685","-10.995166"
"*","STITCH","-5.494307","-0.919663"
"*","STITCH","-10.980972","-10.662537"
"*","STITCH","-5.417914","-0.794865"
"*","STITCH","-11.079631","-10.328120"
"*","STITCH","-5.338944","-0.672692"
"*","STITCH","-11.170570","-9.992074"
"*","STITCH","-5.257456","-0.553221"
"*","STITCH","-11.253698","-9.654563"
"*","STITCH","-5.173511","-0.436527"
"*","STITCH","-11.328925","-9.315756"
"*","STITCH","-5.087173","-0.322686"
"*","STITCH","-11.396167","-8.975828"
"*","STITCH","-4.998509","-0.211774"
"*","STITCH","-11.455337","-8.634955"
"*","STITCH","-4.907590","-0.103865"
"*","STITCH","-11.506355","-8.293322"
"*","STITCH","-4.814487","0.000968"
"*","STITCH","-11.549140","-7.951116"
"*","STITCH","-4.719279","0.102652"
"*","STITCH","-11.583616","-7.608532"
"*","STITCH","-4.622043","0.201115"
"*","STITCH","-11.609709","-7.265767"
"*","STITCH","-4.522862","0.296286"
"*","STITCH","-11.627349","-6.923025"
"*","STITCH","-4.421823","0.388096"
"*","STITCH","-11.636468","-6.580515"
"*","STITCH","-4.319015","0.476477"
"*","STITCH","-11.637003","-6.238451"
"*","STITCH","-4.214530","0.561363"
"*","STITCH","-11.628892","-5.897054"
"*","STITCH","-4.108465","0.642688"
"*","STITCH","-11.612081","-5.556550"
"*","STITCH","-4.000919","0.720388"
"*","STITCH","-11.586516","-5.217170"
"*","STITCH","-3.891997","0.794404"
"*","STITCH","-11.552151","-4.879150"
"*","STITCH","-3.781805","0.864674"
"*","STITCH","-11.508941","-4.542736"
"*","STITCH","-3.670454","0.931143"
"*","STITCH","-11.456849","-4.208176"
"*","STITCH","-3.558060","0.993756"
"*","STITCH","-11.395843","-3.875726"
"*","STITCH","-3.444741","1.052461"
"*","STITCH","-11.325895","-3.545648"
"*","STITCH","-3.330619","1.107208"
"*","STITCH","-11.246983","-3.218210"
"*","STITCH","-3.215821","1.157952"
"*","STITCH","-11.159092","-2.893689"
"*","STITCH","-3.100478","1.204650"
"*","STITCH","-11.062215","-2.572365"
"*","STITCH","-2.984725","1.247264"
"*","STITCH","-10.956349","-2.254528"
"*","STITCH","-2.868700","1.285757"
"*","STITCH","-10.841499","-1.940473"
"*","STITCH","-2.752548","1.320098"
"*","STITCH","-10.717681","-1.630502"
"*","STITCH","-2.636414","1.350262"
"*","STITCH","-10.584916","-1.324927"
"*","STITCH","-2.520451","1.376226"
"*","STITCH","-10.443235","-1.024063"
"*","STITCH","-2.404815","1.397974"
"*","STITCH","-10.292677","-0.728237"
"*","STITCH","-2.289666","1.415494"
"*","STITCH","-10.133294","-0.437780"
"*","STITCH","-2.175168","1.428781"
"*","STITCH","-9.965146","-0.153032"
"*","STITCH","-2.061489","1.437836"
"*","STITCH","-9.788305","0.125659"
"*","STITCH","-1.948802","1.442667"
"*","STITCH","-9.602855","0.397937"
"*","STITCH","-1.837285","1.443289"
"*","STITCH","-9.408892","0.663437"
"*","STITCH","-1.727118","1.439726"
"*","STITCH","-9.206527","0.921789"
"*","STITCH","-1.618486","1.432008"
"*","STITCH","-8.995884","1.172610"
"*","STITCH","-1.511577","1.420176"
"*","STITCH","-8.777102","1.415513"
"*","STITCH","-1.406584","1.404281"
"*","STITCH","-8.550337","1.650099"
"*","STITCH","-1.303702","1.384382"
"*","STITCH","-8.315764","1.875963"
"*","STITCH","-1.203130","1.360553"
"*","STITCH","-8.073574","2.092690"
"*","STITCH","-1.105070","1.332876"
"*","STITCH","-7.823980","2.299856"
"*","STITCH","-1.009726","1.301448"
"*","STITCH","-7.567215","2.497029"
"*","STITCH","-0.917303","1.266381"
"*","STITCH","-7.303535","2.683767"
"*","STITCH","-0.828009","1.227799"
"*","STITCH","-7.033222","2.859620"
"*","STITCH","-0.742052","1.185845"
"*","STITCH","-6.756584","3.024130"
"*","STITCH","-0.659640","1.140678"
"*","STITCH","-6.473957","3.176827"
"*","STITCH","-0.580980","1.092475"
"*","STITCH","-6.185708","3.317235"
"*","STITCH","-0.506277","1.041435"
"*","STITCH","-5.892239","3.444869"
"*","STITCH","-0.435731","0.987779"
"*","STITCH","-5.593987","3.559236"
"*","STITCH","-0.369539","0.931750"
"*","STITCH","-5.291429","3.659832"
"*","STITCH","-0.307889","0.873617"
"*","STITCH","-4.985085","3.746149"
"*","STITCH","-0.250960","0.813679"
"*","STITCH","-4.675521","3.817670"
"*","STITCH","-0.198918","0.752261"
"*","STITCH","-4.363359","3.873870"
"*","STITCH","-0.151914","0.689725"
"*","STITCH","-4.049272","3.914220"
"*","STITCH","-0.110078","0.626466"
"*","STITCH","-3.734001","3.938186"
"*","STITCH","-0.073514","0.562919"
"*","STITCH","-3.418354","3.945228"
"*","STITCH","-0.042293","0.499559"
"*","STITCH","-3.103218","3.934807"
"*","STITCH","-0.016446","0.436908"
"*","STITCH","-2.789569","3.906383"
"*","STITCH","0.004045","0.375537"
"*","STITCH","-2.478478","3.859416"
"*","STITCH","0.019265","0.316072"
"*","STITCH","-2.171132","3.793376"
"*","STITCH","0.029378","0.259193"
"*","STITCH","-1.868842","3.707739"
"*","STITCH","0.034651","0.205647"
"*","STITCH","-1.573071","3.602001"
"*","STITCH","0.035484","0.156241"
"*","STITCH","-1.285450","3.475677"
"*","STITCH","0.032446","0.111853"
"*","STITCH","-1.007815","3.328317"
"*","STITCH","0.026331","0.073430"
"*","STITCH","-0.742245","3.159517"
"*","STITCH","0.018229","0.041978"
"*","STITCH","-0.491109","2.968936"
"*","STITCH","0.009637","0.018557"
"*","STITCH","-0.257142","2.756324"
"*","STITCH","0.002619","0.004243"
"*","STITCH","-0.043535","2.521558"
